party_id,name,ability,item,weapon1,weapon2,weapon3,weapon4,id,form,type1,type2,h,a,b,c,d,s
1,サザンドラ,ふゆう,こだわりスカーフ,あくのはどう,りゅうせいぐん,かえんほうしゃ,とんぼがえり,1,1,あく,ドラゴン,92,105,90,125,90,98
1,ミミッキュ,ばけのかわ,いのちのたま,かげうち,シャドークロー,じゃれつく,つるぎのまい,2,1,ゴースト,フェアリー,55,90,80,50,105,96
1,ドリュウズ,かたやぶり,きあいのタスキ,じしん,アイアンヘッド,がんせきふうじ,つのドリル,3,1,じめん,はがね,110,135,60,50,65,88
1,ロトム,ふゆう,こだわりメガネ,ハイドロポンプ,10まんボルト,ボルトチェンジ,トリック,4,3,でんき,みず,50,65,107,105,107,86
1,カビゴン,あついしぼう,とつげきチョッキ,のしかかり,ヘビーボンバー,かみなりパンチ,じわれ,5,1,ノーマル,,160,110,65,65,110,30
1,アーマーガア,ミラーアーマー,オボンのみ,ブレイブバード,ボディプレス,てっぺき,はねやすめ,6,1,ひこう,はがね,98,87,105,53,85,67
2,ピカチュウ,せいでんき,でんきだま,ボルテッカー,じゃれつく,ねこだまし,かわらわり,7,1,でんき,,35,55,40,50,50,90
2,バタフリー,ふくがん,きあいのタスキ,ぼうふう,ねむりごな,ギガドレイン,ちょうのまい,8,1,むし,ひこう,60,45,50,90,80,70
2,カビゴン,くいしんぼう,フィラのみ,からげんき,じしん,ほのおのパンチ,はらだいこ,9,1,ノーマル,,160,110,65,65,110,30
2,コータス,ひでり,だっしゅつパック,オーバーヒート,クリアスモッグ,ステルスロック,あくび,10,1,ほのお,,70,85,140,85,70,20
2,ヨルノズク,ふみん,こだわりメガネ,ハイパーボイス,ぼうふう,ねっぷう,ムーンフォース,11,1,ノーマル,ひこう,100,50,50,86,96,70
2,リザードン,サンパワー,するどいくちばし,だいもんじ,ソーラービーム,エアスラッシュ,りゅうのはどう,12,1,ほのお,ひこう,78,84,78,109,85,100
3,エンニュート,ふしょく,くろいヘドロ,みがわり,かなしばり,どくどく,かえんほうしゃ,13,1,どく,ほのお,68,64,60,111,60,117
3,セキタンザン,じょうききかん,じゃくてんほけん,げんしのちから,だいちのちから,ソーラービーム,もえつきる,14,1,いわ,ほのお,110,80,120,80,90,30
3,フライゴン,ふゆう,いのちのたま,エアスラッシュ,だいちのちから,だいもんじ,りゅうせいぐん,15,1,じめん,ドラゴン,80,100,80,80,80,100
3,パルスワン,がんじょうあご,じゅうでんち,そうでん,かみなりのキバ,ほのおのキバ,サイコファング,16,1,でんき,,69,90,60,90,60,121
3,ナットレイ,てつのトゲ,たべのこし,ジャイロボール,やどりぎのタネ,まもる,はたきおとす,17,1,くさ,はがね,74,94,131,54,116,20
3,ラプラス,ちょすい,とつげきチョッキ,フリーズドライ,うたかたのアリア,こおりのつぶて,ぜったいれいど,18,1,みず,こおり,130,85,80,85,95,60
4,フライゴン,ふゆう,いのちのたま,エアスラッシュ,だいちのちから,だいもんじ,りゅうせいぐん,19,1,じめん,ドラゴン,80,100,80,80,80,100
4,セキタンザン,じょうききかん,じゃくてんほけん,げんしのちから,だいちのちから,ソーラービーム,もえつきる,20,1,いわ,ほのお,110,80,120,80,90,30
4,パルスワン,がんじょうあご,じゅうでんち,そうでん,かみなりのキバ,ほのおのキバ,サイコファング,21,1,でんき,,69,90,60,90,60,121
4,ラプラス,ちょすい,とつげきチョッキ,フリーズドライ,うたかたのアリア,こおりのつぶて,ぜったいれいど,22,1,みず,こおり,130,85,80,85,95,60
4,ナットレイ,てつのトゲ,たべのこし,ジャイロボール,やどりぎのタネ,まもる,はたきおとす,23,1,くさ,はがね,74,94,131,54,116,20
4,タチフサグマ,こんじょう,かえんだま,はたきおとす,からげんき,ブロッキング,ちょうはつ,24,1,あく,ノーマル,93,90,101,60,81,95
5,キュウコン,ゆきふらし,きあいのタスキ,オーロラベール,フリーズドライ,ムーンフォース,こおりのつぶて,25,2,こおり,フェアリー,73,67,75,81,100,109
5,アシレーヌ,げきりゅう,こだわりメガネ,ムーンフォース,うたかたのアリア,エナジーボール,れいとうビーム,26,1,みず,フェアリー,80,74,74,126,116,60
5,カビゴン,あついしぼう,オボンのみ,かみなりパンチ,アイアンヘッド,ヒートスタンプ,のしかかり,27,1,ノーマル,,160,110,65,65,110,30
5,ドラパルト,すりぬけ,こだわりスカーフ,りゅうせいぐん,シャドーボール,だいもんじ,10まんボルト,28,1,ドラゴン,ゴースト,88,120,75,100,75,142
5,ドリュウズ,かたやぶり,とつげきチョッキ,いわなだれ,アイアンヘッド,かわらわり,じしん,29,1,じめん,はがね,110,135,60,50,65,88
5,サマヨール,プレッシャー,しんかのきせき,ナイトヘッド,のろい,いたみわけ,おにび,30,1,ゴースト,,40,70,130,60,130,25
6,モスノウ,こおりのりんぷん,オッカのみ,れいとうビーム,むしのさざめき,ギガドレイン,ちょうのまい,31,1,こおり,むし,70,65,60,125,90,65
6,ドラパルト,すりぬけ,いのちのたま,りゅうせいぐん,シャドーボール,ハイドロポンプ,10まんボルト,32,1,ドラゴン,ゴースト,88,120,75,100,75,142
6,クチート,いかく,きあいのタスキ,アイアンヘッド,じゃれつく,ほのおのキバ,ふいうち,33,1,はがね,フェアリー,50,85,85,55,55,50
6,バンギラス,すなおこし,じゃくてんほけん,ストーンエッジ,アイアンヘッド,かみなりパンチ,けたぐり,34,1,いわ,あく,100,134,110,95,100,61
6,テブリム,マジックミラー,しんかのきせき,ほっぺすりすり,ギガドレイン,バトンタッチ,めいそう,35,1,エスパー,,57,40,65,86,73,49
6,バイウールー,もふもふ,ゴツゴツメット,ボディプレス,つるぎのまい,コットンガード,バトンタッチ,36,1,ノーマル,,72,80,100,60,90,88
7,テッカニン,かそく,アッキのみ,まもる,みがわり,かたくなる,バトンタッチ,37,1,むし,ひこう,61,90,45,50,50,160
7,ラプラス,うるおいボディ,じゃくてんほけん,フリーズドライ,サイコキネシス,10まんボルト,うたかたのアリア,38,1,みず,こおり,130,85,80,85,95,60
7,パッチラゴン,はりきり,いのちのたま,ドラゴンクロー,でんげきくちばし,ほのおのキバ,つばめがえし,39,1,でんき,ドラゴン,90,100,90,80,70,75
7,ニンフィア,フェアリースキン,のどスプレー,ハイパーボイス,でんこうせっか,マジカルフレイム,サイコショック,40,1,フェアリー,,95,65,65,110,130,60
7,ドリュウズ,かたやぶり,とつげきチョッキ,じしん,アイアンヘッド,いわなだれ,つのドリル,41,1,じめん,はがね,110,135,60,50,65,88
7,エースバーン,もうか,たつじんのおび,かえんボール,ちょうはつ,とびひざげり,ふいうち,42,1,ほのお,,80,116,75,65,75,119
8,ラプラス,ちょすい,とつげきチョッキ,フリーズドライ,うたかたのアリア,こおりのつぶて,ぜったいれいど,43,1,みず,こおり,130,85,80,85,95,60
8,シャンデラ,すりぬけ,いのちのたま,かえんほうしゃ,シャドーボール,サイコキネシス,エナジーボール,44,1,ゴースト,ほのお,60,55,90,145,90,80
8,タチフサグマ,こんじょう,かえんだま,はたきおとす,からげんき,ブロッキング,ちょうはつ,45,1,あく,ノーマル,93,90,101,60,81,95
8,セキタンザン,じょうききかん,じゃくてんほけん,げんしのちから,だいちのちから,ソーラービーム,もえつきる,46,1,いわ,ほのお,110,80,120,80,90,30
8,テブリム,マジックミラー,しんかのきせき,ほっぺすりすり,めいそう,バトンタッチ,ギガドレイン,47,1,エスパー,,57,40,65,86,73,49
8,ナットレイ,てつのトゲ,たべのこし,ジャイロボール,やどりぎのタネ,まもる,はたきおとす,48,1,くさ,はがね,74,94,131,54,116,20
9,キュウコン,ゆきふらし,きあいのタスキ,オーロラベール,フリーズドライ,ムーンフォース,こおりのつぶて,49,2,こおり,フェアリー,73,67,75,81,100,109
