,0,1,2,3
0,ギガドレイン,ヘドロばくだん,どくどく,まもる
1,ソーラービーム,ヘドロばくだん,ウェザーボール,だいちのちから
2,ハードプラント,ヘドロばくだん,だいちのちから,ねむりごな
3,ヘドロばくだん,ソーラービーム,こうごうせい,だいちのちから
4,はなびらのまい,ヘドロばくだん,だいちのちから,ねむりごな
5,リーフストーム,ねむりごな,だいちのちから,ヘドロばくだん
6,ギガドレイン,やどりぎのタネ,まもる,みがわり
7,ギガドレイン,だいちのちから,ウェザーボール,せいちょう
8,ハードプラント,だいちのちから,ウェザーボール,ねむりごな
9,ハードプラント,ヘドロばくだん,だいちのちから,ねむりごな
10,ハードプラント,ヘドロばくだん,だいちのちから,まもる
11,ハードプラント,ヘドロばくだん,だいちのちから,ねむりごな
12,ヘドロばくだん,リーフストーム,ねむりごな,まもる
13,リーフストーム,ヘドロばくだん,ねむりごな,まもる
14,ハードプラント,ヘドロばくだん,だいちのちから,ねむりごな
15,リーフストーム,ヘドロばくだん,めざめるパワー,まもる
16,だいもんじ,りゅうのはどう,ソーラービーム,エアスラッシュ
17,フレアドライブ,そらをとぶ,じしん,はらだいこ
18,かえんほうしゃ,エアスラッシュ,りゅうのはどう,おにび
19,ブラストバーン,ぼうふう,ソーラービーム,りゅうのはどう
20,カウンター,エアスラッシュ,オーバーヒート,おにび
21,ブラストバーン,ぼうふう,りゅうのはどう,こらえる
22,フレアドライブ,そらをとぶ,じしん,りゅうのまい
23,カウンター,おにび,かえんほうしゃ,ねっさのだいち
24,ねっぷう,エアスラッシュ,りゅうのはどう,おにび
25,ねっぷう,ブラストバーン,ぼうふう,まもる
26,ブラストバーン,ぼうふう,ソーラービーム,みがわり
27,エアスラッシュ,ソーラービーム,オーバーヒート,ふるいたてる
28,ブラストバーン,エアスラッシュ,ねっさのだいち,まもる
29,フレアドライブ,そらをとぶ,じしん,はらだいこ
30,ブラストバーン,ぼうふう,ソーラービーム,げんしのちから
31,ブラストバーン,ぼうふう,ソーラービーム,ねっさのだいち
32,ブラストバーン,ぼうふう,ソーラービーム,まもる
33,ねっぷう,エアスラッシュ,ねっさのだいち,まもる
34,ブラストバーン,ぼうふう,げんしのちから,まもる
35,ハイドロカノン,れいとうビーム,あくのはどう,からをやぶる
36,ハイドロカノン,あくのはどう,ふぶき,からをやぶる
37,だいちのはどう,からをやぶる,ハイドロカノン,ふぶき
38,クイックターン,あくび,てっぺき,ボディプレス
39,てっぺき,ボディプレス,ミラーコート,ねっとう
40,からをやぶる,アクアブレイク,れいとうパンチ,じしん
41,ハイドロポンプ,れいとうビーム,みがわり,からをやぶる
42,ハイドロポンプ,れいとうビーム,からをやぶる,あくび
43,ハイドロポンプ,れいとうビーム,あくのはどう,からをやぶる
44,からをやぶる,ハイドロカノン,ラスターカノン,れいとうビーム
45,ねこだまし,れいとうビーム,みずのちかい,しおふき
46,からをやぶる,アクアブレイク,じしん,れいとうパンチ
47,こごえるかぜ,てっぺき,ねっとう,ボディプレス
48,れいとうビーム,からをやぶる,はかいこうせん,ハイドロカノン
49,なみのり,れいとうビーム,ラスターカノン,からをやぶる
50,からをやぶる,だくりゅう,ふぶき,あくび
51,ねむりごな,みがわり,ちょうのまい,ぼうふう
52,かふんだんご,ぼうふう,いかりのこな,ねむりごな
53,ねむりごな,ちょうのまい,ぼうふう,バトンタッチ
54,ぼうふう,ねむりごな,ちょうのまい,ふきとばし
55,バトンタッチ,ちょうのまい,みがわり,ねむりごな
56,ぼうふう,ちょうのまい,みがわり,ねむりごな
57,エアスラッシュ,ねむりごな,みがわり,ちょうのまい
58,おいかぜ,ねむりごな,いかりのこな,むしのていこう
59,ねむりごな,しびれごな,むしのさざめき,とんぼがえり
60,ねむりごな,ちょうのまい,むしのさざめき,サイコキネシス
61,ちょうのまい,ねむりごな,ふきとばし,みがわり
62,どくばり,むしくい,いとをはく,エレキネット
63,ダブルニードル,どくづき,がむしゃら,しっぺがえし
64,おいかぜ,がむしゃら,ダブルニードル,しっぺがえし
65,おいかぜ,とんぼがえり,フェザーダンス,ブレイブバード
66,すてみタックル,かみくだく,かえんぐるま,とんぼがえり
67,すてみタックル,ふいうち,いかりのまえば,ワイルドボルト
68,すてみタックル,ふいうち,がむしゃら,かえんぐるま
69,おいかぜ,ドリルライナー,ゴッドバード,おんがえし
70,ドリルくちばし,ドリルライナー,おんがえし,ふきとばし
71,へびにらみ,ダストシュート,がんせきふうじ,じしん
72,へびにらみ,すりかえ,じしん,どくづき
73,アシッドボム,めざめるパワー,へびにらみ,ねむる
74,かわらわり,ボルテッカー,アイアンテール,のしかかり
75,なみのり,かみなり,ドレインキッス,かわらわり
76,ボルトチェンジ,かみなり,くさむすび,なみのり
77,10まんボルト,うたう,ねこだまし,エレキネット
78,10まんボルト,なみのり,くさむすび,ボルトチェンジ
79,まもる,ボルテッカー,ねこだまし,かわらわり
80,かみなり,こうそくいどう,ドレインキッス,なみのり
